AgeConducteur,SexeConducteur,BonusMalus,FrequencePaiement,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
24.0,F,76.0,Annual,10.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,251.8
49.0,M,50.0,Half-yearly,2.0,Medium,P13,Diesel,Professional,Closed zbox,Center,874.9
35.0,M,66.0,Half-yearly,9.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,Center,535.0
31.0,M,72.0,Half-yearly,12.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,Center,305.2
34.0,M,76.0,Half-yearly,2.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,776.2
52.0,M,50.0,Half-yearly,0.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,South West,780.0
55.0,M,50.0,Half-yearly,4.0,Medium high,P14,Diesel,Private+trip to office,Closed zbox,Center,517.2
67.0,M,51.0,Half-yearly,9.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,Center,281.2
44.0,F,50.0,Annual,7.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Center,223.4
48.0,M,50.0,Half-yearly,9.0,Cheap,P10,Regular,Private+trip to office,Closed collective parking,Paris area,227.9
39.0,M,68.0,Half-yearly,9.0,Cheap,P10,Regular,Professional,Closed zbox,Headquarters,486.4
32.0,M,56.99999999999999,Half-yearly,7.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,511.3
35.0,M,95.0,Quarterly,2.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,1226.4
36.0,F,50.0,Half-yearly,12.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Center,173.0
24.0,M,72.0,Half-yearly,12.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Paris area,399.6
54.0,M,50.0,Annual,6.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Headquarters,311.7
55.0,M,72.0,Half-yearly,8.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,592.4
36.0,M,50.0,Half-yearly,20.0,Cheap,P7,Regular,Private+trip to office,Street,Center,142.8
42.0,M,50.0,Half-yearly,11.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,South West,189.0
42.0,F,51.0,Half-yearly,5.0,Medium,P14,Diesel,Private+trip to office,Closed zbox,Headquarters,462.8
22.0,M,85.0,Half-yearly,12.0,Medium low,P14,Diesel,Private+trip to office,Opened collective parking,Headquarters,536.4
54.0,M,72.0,Half-yearly,10.0,Cheap,P10,Regular,Private+trip to office,Closed collective parking,South West,250.8
51.0,F,55.00000000000001,Annual,2.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,336.5
42.0,M,62.0,Annual,1.0,Cheap,P14,Regular,Private+trip to office,Street,Center,659.3
46.0,M,50.0,Annual,14.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,South West,213.6
51.0,F,50.0,Annual,12.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,179.0
33.0,F,80.0,Half-yearly,9.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Headquarters,323.8
29.0,M,60.0,Annual,3.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Center,816.8
29.0,M,59.0,Half-yearly,11.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,180.5
37.0,M,76.0,Half-yearly,10.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Center,503.6
50.0,M,50.0,Annual,6.0,Cheap,P9,Diesel,Private+trip to office,Closed zbox,Center,295.4
35.0,M,95.0,Half-yearly,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,674.4
42.0,M,50.0,Half-yearly,19.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Paris area,218.3
31.0,M,60.0,Half-yearly,1.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Center,398.7
61.0,M,50.0,Half-yearly,7.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,South West,276.5
54.0,M,50.0,Half-yearly,4.0,Expensive,P14,Diesel,Private+trip to office,Opened collective parking,Headquarters,1004.6
34.0,M,50.0,Half-yearly,19.0,Cheap,P9,Diesel,Private+trip to office,Closed zbox,Center,177.6
33.0,F,50.0,Half-yearly,5.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,South West,280.2
31.0,M,80.0,Half-yearly,0.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,South West,890.2
46.0,M,50.0,Annual,10.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,307.4
28.0,M,64.0,Annual,9.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Headquarters,287.8
34.0,F,51.0,Annual,4.0,Medium,P15,Regular,Private+trip to office,Closed zbox,Center,622.3
24.0,F,80.0,Quarterly,4.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,Center,451.6
68.0,M,50.0,Half-yearly,1.0,Medium low,P13,Regular,Private+trip to office,Closed zbox,Paris area,728.6
25.0,F,72.0,Annual,7.0,Cheap,P8,Regular,Private+trip to office,Street,South West,461.4
32.0,F,56.99999999999999,Annual,7.0,Cheap,P10,Diesel,Private+trip to office,Opened collective parking,Center,191.5
33.0,M,68.0,Annual,13.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Headquarters,265.4
27.0,M,76.0,Quarterly,4.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Paris area,408.0
54.0,F,55.00000000000001,Annual,8.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Headquarters,182.9
29.0,M,95.0,Quarterly,4.0,Cheap,P12,Diesel,Private+trip to office,Street,Center,555.9
29.0,M,80.0,Quarterly,5.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,567.0
38.0,M,50.0,Half-yearly,8.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,131.6
36.0,M,72.0,Half-yearly,9.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Headquarters,345.8
38.0,F,60.0,Half-yearly,9.0,Medium high,P14,Regular,Private+trip to office,Closed collective parking,Headquarters,630.6
37.0,M,62.0,Half-yearly,8.0,Medium low,P13,Diesel,Private+trip to office,Closed collective parking,Paris area,338.5
29.0,F,56.99999999999999,Annual,4.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,376.6
35.0,F,50.0,Half-yearly,8.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,South West,343.2
35.0,M,50.0,Annual,1.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,517.8
34.0,M,67.0,Annual,14.0,Cheap,P10,Diesel,Professional,Street,South West,254.0
47.0,M,50.0,Half-yearly,11.0,Cheap,P10,Diesel,Private+trip to office,Street,Center,263.8
30.0,M,68.0,Half-yearly,9.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,435.8
51.0,M,50.0,Annual,4.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,Center,357.4
53.0,M,65.0,Annual,3.0,Medium,P14,Regular,Professional,Closed zbox,South West,1159.5
50.0,M,50.0,Half-yearly,6.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Center,516.8
28.0,M,64.0,Annual,13.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,242.6
47.0,M,50.0,Annual,9.0,Medium low,P11,Diesel,Professional,Opened collective parking,Center,229.3
72.0,M,50.0,Half-yearly,5.0,Medium low,P13,Regular,Private+trip to office,Closed zbox,South West,576.5
50.0,M,54.0,Half-yearly,7.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Center,326.7
71.0,M,50.0,Half-yearly,9.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,Center,488.8
46.0,M,50.0,Annual,8.0,Medium low,P14,Regular,Private+trip to office,Closed collective parking,Paris area,294.4
42.0,M,50.0,Annual,0.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,315.6
45.0,M,50.0,Half-yearly,10.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,132.5
38.0,M,64.0,Half-yearly,7.0,Cheap,P12,Diesel,Private+trip to office,Street,Headquarters,606.4
39.0,M,64.0,Quarterly,13.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Paris area,325.0
52.0,M,57.99999999999999,Annual,4.0,Medium low,P14,Diesel,Private+trip to office,Closed collective parking,Headquarters,509.0
38.0,F,50.0,Half-yearly,2.0,Cheap,P14,Diesel,Private+trip to office,Closed collective parking,Paris area,705.8
28.0,M,68.0,Annual,2.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Headquarters,446.7
22.0,M,85.0,Half-yearly,1.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Center,514.8
38.0,M,64.0,Half-yearly,4.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,424.4
31.0,M,95.0,Half-yearly,3.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,511.6
27.0,M,68.0,Half-yearly,5.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,302.0
29.0,F,85.0,Half-yearly,15.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Headquarters,348.9
29.0,M,64.0,Half-yearly,6.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Center,507.4
67.0,M,50.0,Annual,7.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Paris area,312.5
52.0,M,85.0,Half-yearly,5.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Paris area,763.3
39.0,F,50.0,Monthly,5.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Headquarters,337.1
55.0,M,50.0,Half-yearly,2.0,Medium low,P13,Regular,Private+trip to office,Closed zbox,South West,566.6
32.0,M,76.0,Half-yearly,2.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Center,831.3
37.0,F,50.0,Half-yearly,8.0,Cheap,P12,Regular,Professional,Closed zbox,Paris area,569.0
23.0,F,95.0,Half-yearly,9.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,562.2
53.0,M,52.0,Annual,8.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,210.1
33.0,M,72.0,Annual,4.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Headquarters,349.4
36.0,M,80.0,Quarterly,4.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Paris area,442.8
39.0,M,68.0,Quarterly,8.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,South West,276.2
26.0,M,64.0,Annual,3.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,South West,525.9
23.0,M,85.0,Half-yearly,5.0,Cheap,P10,Diesel,Private+trip to office,Opened collective parking,Headquarters,634.2
77.0,M,50.0,Annual,2.0,Medium low,P13,Regular,Private+trip to office,Closed collective parking,Headquarters,702.8
26.0,M,79.0,Half-yearly,10.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,311.2
30.0,M,85.0,Half-yearly,10.0,Cheap,P5,Regular,Private+trip to office,Closed zbox,Center,267.5
48.0,F,50.0,Annual,6.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,217.1
29.0,M,68.0,Quarterly,2.0,Medium low,P13,Diesel,Private+trip to office,Closed collective parking,Paris area,957.4
51.0,M,50.0,Annual,7.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Center,268.6
42.0,F,50.0,Annual,0.0,Cheap,P9,Regular,Private+trip to office,Street,Paris area,410.8
41.0,F,50.0,Half-yearly,2.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Headquarters,291.0
57.0,M,72.0,Half-yearly,9.0,Cheap,P11,Regular,Private+trip to office,Closed collective parking,Center,291.8
50.0,M,50.0,Half-yearly,8.0,Cheap,P10,Diesel,Private+trip to office,Street,Center,225.1
57.0,M,67.0,Half-yearly,13.0,Cheap,P7,Regular,Private+trip to office,Closed zbox,Headquarters,275.1
24.0,F,106.0,Half-yearly,5.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,Paris area,945.8
45.0,M,50.0,Annual,10.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Headquarters,247.0
33.0,M,56.99999999999999,Half-yearly,7.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,431.6
34.0,M,50.0,Annual,5.0,Cheap,P10,Diesel,Private+trip to office,Opened collective parking,Center,246.6
64.0,M,50.0,Annual,10.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Headquarters,318.2
52.0,F,82.0,Quarterly,0.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,South West,767.3
43.0,M,56.00000000000001,Annual,4.0,Cheap,P13,Diesel,Private+trip to office,Closed collective parking,South West,664.4
27.0,M,68.0,Half-yearly,9.0,Cheap,P8,Regular,Private+trip to office,Opened collective parking,South West,179.3
28.0,F,60.0,Half-yearly,7.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Center,454.4
23.0,F,80.0,Half-yearly,8.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Center,443.4
45.0,M,50.0,Half-yearly,5.0,Medium,P13,Regular,Private+trip to office,Opened collective parking,Center,440.8
36.0,M,64.0,Annual,8.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,480.8
38.0,F,76.0,Half-yearly,14.0,Cheap,P10,Regular,Private+trip to office,Street,Center,262.6
38.0,M,54.0,Half-yearly,14.0,Medium high,P15,Regular,Private+trip to office,Closed zbox,Headquarters,845.1
50.0,M,50.0,Annual,7.0,Medium high,P15,Regular,Private+trip to office,Closed zbox,Center,449.2
47.0,M,50.0,Half-yearly,8.0,Medium low,P14,Regular,Private+trip to office,Opened collective parking,Center,400.1
53.0,M,50.0,Annual,1.0,Expensive,P14,Regular,Private+trip to office,Closed zbox,Headquarters,785.2
56.0,F,68.0,Half-yearly,10.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Headquarters,266.7
54.0,F,50.0,Annual,6.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,399.7
32.0,F,51.0,Half-yearly,3.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Headquarters,267.4
29.0,M,60.0,Annual,3.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Center,468.0
38.0,M,55.00000000000001,Half-yearly,6.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,251.8
43.0,M,72.0,Annual,0.0,Expensive,P15,Diesel,Private+trip to office,Closed zbox,South West,1359.6
58.0,M,50.0,Half-yearly,26.0,Expensive,P15,Regular,Private+trip to office,Closed collective parking,Headquarters,286.0
48.0,M,50.0,Annual,4.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,292.6
32.0,M,50.0,Half-yearly,4.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Headquarters,585.6
62.0,F,50.0,Annual,13.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,129.8
26.0,M,78.0,Half-yearly,3.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,South West,825.4
43.0,F,50.0,Annual,16.0,Medium,P14,Regular,Private+trip to office,Closed zbox,Headquarters,286.0
45.0,M,67.0,Half-yearly,2.0,Medium low,P12,Diesel,Private+trip to office,Closed zbox,Center,659.3
36.0,F,50.0,Quarterly,6.0,Cheap,P12,Diesel,Private+trip to office,Opened collective parking,Paris area,598.3
38.0,M,50.0,Half-yearly,3.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Paris area,416.9
35.0,M,50.0,Quarterly,4.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,South West,459.5
54.0,M,50.0,Annual,9.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,169.8
28.0,M,85.0,Monthly,7.0,Medium high,P13,Regular,Private+trip to office,Closed zbox,Paris area,717.1
44.0,M,50.0,Half-yearly,7.0,Expensive,P16,Diesel,Private+trip to office,Closed zbox,Paris area,574.7
47.0,M,55.00000000000001,Half-yearly,10.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Headquarters,566.7
40.0,M,80.0,Half-yearly,10.0,Cheap,P9,Regular,Private+trip to office,Street,South West,436.0
49.0,M,50.0,Half-yearly,1.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,379.6
59.0,M,50.0,Annual,1.0,Medium,P13,Diesel,Private+trip to office,Closed zbox,Center,736.2
39.0,F,68.0,Annual,8.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,294.9
35.0,F,56.00000000000001,Half-yearly,2.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,South West,471.8
35.0,F,62.0,Half-yearly,20.0,Cheap,P5,Regular,Private+trip to office,Closed zbox,Center,172.9
30.0,M,64.0,Half-yearly,10.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,370.1
32.0,F,76.0,Half-yearly,0.0,Medium,P13,Diesel,Private+trip to office,Closed zbox,Headquarters,1073.6
27.0,F,72.0,Monthly,5.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,South West,537.0
41.0,M,50.0,Monthly,8.0,Medium low,P15,Diesel,Private+trip to office,Opened collective parking,Center,448.6
75.0,M,50.0,Annual,5.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Headquarters,249.8
28.0,F,76.0,Half-yearly,3.0,Cheap,P9,Regular,Professional,Street,Headquarters,818.1
37.0,F,50.0,Annual,15.0,Cheap,P5,Regular,Private+trip to office,Street,Paris area,124.2
42.0,F,50.0,Annual,8.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,154.8
39.0,M,60.0,Annual,9.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,411.2
46.0,F,50.0,Half-yearly,2.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,252.6
72.0,M,50.0,Annual,1.0,Medium,P14,Diesel,Private+trip to office,Closed zbox,Headquarters,625.4
58.0,M,50.0,Half-yearly,15.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Headquarters,210.2
38.0,F,95.0,Half-yearly,8.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Paris area,713.8
59.0,M,50.0,Annual,5.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,310.8
32.0,M,80.0,Annual,12.0,Cheap,P9,Regular,Private+trip to office,Street,Headquarters,341.0
31.0,M,69.0,Half-yearly,1.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,555.1
31.0,M,81.0,Half-yearly,7.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,680.6
30.0,F,68.0,Half-yearly,1.0,Cheap,P10,Regular,Private+trip to office,Street,Headquarters,735.8
36.0,F,64.0,Half-yearly,10.0,Medium high,P15,Regular,Private+trip to office,Opened collective parking,Headquarters,885.7
42.0,F,50.0,Half-yearly,7.0,Cheap,P9,Regular,Professional,Closed zbox,South West,348.6
43.0,M,80.0,Half-yearly,13.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Center,282.4
59.0,F,50.0,Half-yearly,2.0,Cheap,P13,Diesel,Private+trip to office,Closed collective parking,Headquarters,505.6
27.0,M,100.0,Half-yearly,14.0,Cheap,P10,Regular,Private+trip to office,Street,Headquarters,399.0
32.0,M,68.0,Half-yearly,8.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Headquarters,295.5
38.0,F,50.0,Half-yearly,8.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,350.9
54.0,F,92.0,Half-yearly,19.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Center,310.2
51.0,F,50.0,Half-yearly,8.0,Cheap,P8,Regular,Private+trip to office,Street,Center,267.8
46.0,M,50.0,Annual,16.0,Medium low,P13,Regular,Private+trip to office,Closed zbox,Headquarters,262.2
24.0,M,90.0,Half-yearly,18.0,Cheap,P10,Regular,Private+trip to office,Closed collective parking,Center,371.0
53.0,M,55.00000000000001,Annual,14.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Center,315.2
56.0,M,54.0,Half-yearly,8.0,Medium low,P14,Diesel,Private+trip to office,Opened collective parking,Center,611.0
30.0,M,60.0,Half-yearly,6.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,365.9
40.0,M,50.0,Half-yearly,5.0,Medium low,P13,Diesel,Private+trip to office,Opened collective parking,Center,458.7
42.0,F,57.99999999999999,Half-yearly,8.0,Cheap,P9,Regular,Private+trip to office,Street,South West,342.1
45.0,M,50.0,Half-yearly,3.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,309.7
49.0,M,100.0,Half-yearly,8.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Center,627.6
26.0,F,70.0,Annual,5.0,Cheap,P13,Diesel,Professional,Street,Center,557.2
25.0,F,90.0,Quarterly,20.0,Cheap,P5,Regular,Private+trip to office,Street,Center,199.1
31.0,F,68.0,Half-yearly,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,655.7
48.0,M,50.0,Annual,15.0,Medium low,P11,Diesel,Private+trip to office,Closed zbox,Paris area,189.4
45.0,M,50.0,Annual,8.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Headquarters,248.2
26.0,M,90.0,Half-yearly,9.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,Paris area,379.8
48.0,F,68.0,Half-yearly,6.0,Cheap,P8,Regular,Private+trip to office,Street,Headquarters,562.5
54.0,M,50.0,Annual,10.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,343.7
51.0,M,62.0,Annual,4.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,Paris area,988.0
27.0,F,68.0,Annual,8.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,341.2
42.0,M,50.0,Half-yearly,6.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,Center,670.4
37.0,F,50.0,Half-yearly,4.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,Paris area,310.8
35.0,F,50.0,Annual,13.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,177.6
48.0,M,57.99999999999999,Half-yearly,7.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Headquarters,890.8
41.0,F,60.0,Half-yearly,6.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Headquarters,441.9
51.0,M,55.00000000000001,Annual,11.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Center,243.1
21.0,F,90.0,Quarterly,0.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,825.3
37.0,M,50.0,Annual,10.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,132.4
36.0,F,50.0,Half-yearly,11.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,296.6
48.0,M,50.0,Half-yearly,13.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,South West,284.2
34.0,F,50.0,Annual,21.0,Cheap,P5,Regular,Private+trip to office,Closed collective parking,South West,125.3
34.0,F,60.0,Half-yearly,8.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Center,452.2
45.0,M,77.0,Half-yearly,3.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,South West,635.6
25.0,M,68.0,Half-yearly,7.0,Cheap,P8,Regular,Private+trip to office,Street,Headquarters,378.5
38.0,M,50.0,Annual,7.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Center,181.2
72.0,M,50.0,Half-yearly,23.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,South West,159.8
34.0,F,50.0,Annual,3.0,Cheap,P10,Diesel,Professional,Closed collective parking,Center,427.7
24.0,F,76.0,Half-yearly,5.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,South West,461.2
41.0,F,50.0,Half-yearly,14.0,Cheap,P7,Regular,Private+trip to office,Closed zbox,Center,124.8
64.0,M,50.0,Half-yearly,5.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,South West,432.1
49.0,M,50.0,Half-yearly,0.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,248.5
22.0,F,85.0,Quarterly,2.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Headquarters,848.5
30.0,M,61.0,Half-yearly,5.0,Cheap,P13,Diesel,Private+trip to office,Street,Headquarters,629.1
25.0,M,85.0,Half-yearly,11.0,Cheap,P12,Diesel,Private+trip to office,Opened collective parking,Center,441.4
27.0,F,90.0,Half-yearly,11.0,Cheap,P9,Regular,Private+trip to office,Street,Center,292.0
27.0,M,63.0,Half-yearly,6.0,Medium low,P14,Diesel,Private+trip to office,Closed collective parking,Center,608.6
38.0,F,85.0,Half-yearly,8.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,444.7
39.0,F,56.99999999999999,Quarterly,11.0,Cheap,P5,Regular,Private+trip to office,Closed zbox,Center,163.5
35.0,M,50.0,Quarterly,8.0,Expensive,P16,Diesel,Private+trip to office,Closed zbox,Center,726.0
43.0,M,60.0,Half-yearly,8.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,South West,515.2
53.0,M,55.00000000000001,Annual,9.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,202.9
40.0,M,50.0,Annual,12.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,Center,239.0
28.0,M,80.0,Half-yearly,13.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Paris area,350.0
31.0,M,68.0,Quarterly,5.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,Center,740.2
45.0,F,52.0,Half-yearly,11.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Center,229.8
31.0,F,65.0,Quarterly,5.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,534.7
28.0,F,80.0,Half-yearly,9.0,Cheap,P8,Regular,Private+trip to office,Street,Center,235.3
45.0,F,50.0,Half-yearly,14.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,158.1
30.0,M,76.0,Half-yearly,13.0,Cheap,P10,Regular,Private+trip to office,Closed collective parking,Center,327.0
45.0,M,54.0,Half-yearly,2.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Paris area,799.4
47.0,F,56.99999999999999,Half-yearly,9.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,234.4
53.0,M,90.0,Quarterly,8.0,Medium low,P14,Regular,Private+trip to office,Closed collective parking,South West,786.6
29.0,F,50.0,Half-yearly,9.0,Cheap,P13,Regular,Private+trip to office,Opened collective parking,Center,326.4
44.0,M,72.0,Quarterly,8.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Center,561.3
50.0,F,63.0,Half-yearly,2.0,Medium high,P14,Regular,Private+trip to office,Closed zbox,Center,739.0
32.0,M,80.0,Half-yearly,10.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Headquarters,477.3
36.0,M,54.0,Annual,14.0,Cheap,P7,Regular,Private+trip to office,Closed collective parking,Center,138.1
41.0,M,50.0,Half-yearly,10.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Center,231.6
53.0,F,50.0,Half-yearly,4.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Center,398.1
27.0,F,64.0,Half-yearly,8.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,228.3
36.0,M,50.0,Half-yearly,6.0,Expensive,P16,Diesel,Private+trip to office,Closed collective parking,Center,679.7
31.0,M,56.99999999999999,Annual,9.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Paris area,314.0
34.0,M,60.0,Half-yearly,7.0,Cheap,P11,Regular,Private+trip to office,Closed collective parking,Paris area,293.5
24.0,M,80.0,Half-yearly,1.0,Cheap,P10,Regular,Private+trip to office,Street,Headquarters,540.9
32.0,M,95.0,Half-yearly,1.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Paris area,1054.2
